LogMessage,class
RuntimeException: Queue worker timed out after 240 seconds while processing App\Jobs\ImportJiraTicketsJob,SYSTEM
ModelNotFoundException: No query results for model [App\Models\Permission] 1109,Error
QueryException: SQLSTATE[HY000] [08006] server closed the connection unexpectedly (172.16.127.39:443),SYSTEM
DELETE does-not-exist 404 613ms user=46 ip=10.136.190.54 ua=curl/8.7.1,Noise
GET activities 503 1556ms user=47 ip=10.31.227.23 ua=Symfony,Noise
UnexpectedValueException: Invalid configuration value for services.oidc.scope: [],CONFIGURATION
PUT projects 404 89ms user=62 ip=10.116.24.162 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
"TypeError: App\Filament\Resources\TicketResource::formatDueDate(): Argument #1 must be of type DateTimeInterface, string given",Error
"UnexpectedValueException: Invalid configuration value for database.connections.mysql.host: """"",CONFIGURATION
GET ticket-statuses/create 429 1370ms user=41 ip=10.51.163.145 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
GET livewire/message/tickets 200 477ms user=guest ip=10.196.136.6 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
RuntimeException: Configuration key OUTLOOK_MAIL_TENANT was not loaded,CONFIGURATION
GET tickets/205/edit 503 816ms user=21 ip=10.191.37.33 ua=Symfony,Noise
"ErrorException: Attempt to read property ""owner"" on null in TicketResource.php",Error
Fatal error: Allowed memory size of 301989888 bytes exhausted (tried to allocate 3145728 bytes) in /var/www/html/vendor/laravel/framework/src/Illuminate/View/Factory.php:102,SYSTEM
POST ticket-priorities 503 1271ms user=56 ip=10.156.172.38 ua=Symfony,Noise
GET activities 401 165ms user=96 ip=10.146.158.230 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
RuntimeException: Queue worker stopped after exceeding memory limit of 248 MB,SYSTEM
GET settings/general 400 789ms user=72 ip=10.16.114.12 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
DELETE does-not-exist 500 939ms user=60 ip=10.136.144.192 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
InvalidArgumentException: View [filament.widgets.open-ticket-table] not found.,Error
GET login 403 975ms user=78 ip=10.226.178.120 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
DELETE projects 500 962ms user=11 ip=10.1.1.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
GET projects/101/edit 200 208ms user=7 ip=10.211.65.109 ua=curl/8.7.1,Noise
RuntimeException: Configuration key MAIL_USERNAME was not loaded,CONFIGURATION
UnexpectedValueException: Invalid configuration value for filesystems.disks.s3.bucket: false,CONFIGURATION
GET livewire/message/app.filament.widgets.favorite-projects 304 1606ms user=43 ip=10.71.7.83 ua=Symfony,Noise
InvalidArgumentException: Configuration value DB_HOST cannot be blank,CONFIGURATION
InvalidArgumentException: Configuration value APP_KEY cannot be blank,CONFIGURATION
PATCH admin 503 99ms user=42 ip=10.216.164.82 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
ErrorException: Undefined variable $assignees in view tickets.form,Error
DELETE tickets/205 200 1264ms user=67 ip=10.181.69.87 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
GET filament/assets/echo.js 304 1583ms user=92 ip=10.206.150.44 ua=curl/8.7.1,Noise
PATCH tickets 302 819ms user=12 ip=10.86.74.2 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
GET ticket-statuses/create 200 756ms user=45 ip=10.51.117.53 ua=Symfony,Noise
ErrorException: file_put_contents(storage/framework/views/ticket.blade.php): Failed to open stream: Read-only file system,SYSTEM
PATCH roles/9/edit 405 1377ms user=30 ip=10.26.36.96 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
"RuntimeException: OIDC login cannot start because ""scopes"" is not configured",CONFIGURATION
GET users/create 200 932ms user=guest ip=10.161.41.11 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
PUT ticket-statuses/create 302 1274ms user=47 ip=10.51.209.7 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
ModelNotFoundException: No query results for model [App\Models\Role] 6044,Error
RuntimeException: Queue worker timed out after 75 seconds while processing App\Jobs\ImportJiraTicketsJob,SYSTEM
POST ticket-statuses/create 404 852ms user=39 ip=10.51.71.191 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
PUT tickets 405 205ms user=16 ip=10.86.28.140 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
GET roles 405 1639ms user=70 ip=10.36.4.42 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
TransportException: Outlook OAuth token request failed with status 400: invalid_request,CONFIGURATION
GET livewire/message/app.filament.widgets.favorite-projects 200 733ms user=94 ip=10.186.30.14 ua=curl/8.7.1,Noise
ErrorException: Undefined variable $record in view tickets.form,Error
GET admin 302 1490ms user=89 ip=10.101.3.105 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
QueryException: SQLSTATE[HY000] [2002] Connection timed out (172.16.163.107:443),SYSTEM
DELETE activities 403 520ms user=43 ip=10.31.43.115 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
POST filament/assets/echo.js 401 643ms user=82 ip=10.206.150.44 ua=curl/8.7.1,Noise
GET tickets/205 404 1523ms user=20 ip=10.66.230.64 ua=curl/8.7.1,Noise
GET roles/9/edit 404 1022ms user=83 ip=10.141.151.211 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
"TypeError: App\Filament\Resources\UserResource::formatName(): Argument #1 must be of type string, array given",Error
RuntimeException: Configuration key MAIL_HOST was not loaded,CONFIGURATION
GET livewire/message/tickets 400 26ms user=95 ip=10.81.67.213 ua=Symfony,Noise
POST projects 503 1317ms user=54 ip=10.116.116.116 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
GET users/create 422 59ms user=26 ip=10.46.64.172 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
GET tickets 204 464ms user=65 ip=10.201.189.117 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
"RuntimeException: SMTP transport configuration is missing MAIL_HOST, MAIL_PORT, MAIL_USERNAME",CONFIGURATION
POST projects/101/edit 200 1503ms user=60 ip=10.96.180.224 ua=curl/8.7.1,Noise
QueryException: SQLSTATE[HY000] [2002] Connection timed out (172.16.71.111:443),SYSTEM
"ParseError: syntax error, unexpected token ""readonly"" in ProjectResource.php:144",Error
QueryException: SQLSTATE[HY000] [2002] Connection refused (172.16.199.175:443),SYSTEM
GET livewire/message/tickets 422 1254ms user=87 ip=10.81.159.167 ua=Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,Noise
RuntimeException: Configuration key QUEUE_CONNECTION was not loaded,CONFIGURATION
GET livewire/message/tickets 302 1513ms user=40 ip=10.196.90.144 ua=curl/8.7.1,Noise
POST login 304 457ms user=76 ip=10.226.86.166 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
