LogMessage,class
DELETE livewire/message/tickets 403 628ms user=13 ip=10.48.184.100 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
POST roles/7/edit 401 777ms user=13 ip=10.49.113.177 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
PUT livewire/message/app.filament.widgets.tickets-by-priority 200 971ms user=22 ip=10.85.197.89 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
RuntimeException: SMTP mailer is missing required option MAIL_HOST,CONFIGURATION
RuntimeException: Queue worker exceeded memory limit of 144 MB,SYSTEM
LogicException: Route [filament.resources.ticket-statuses.create] not defined.,Error
RuntimeException: Queue worker exceeded memory limit of 288 MB,SYSTEM
ErrorException: file_put_contents(storage/logs/laravel-2026-05-12.log): Failed to open stream: No space left on device,SYSTEM
RuntimeException: Queue worker exceeded memory limit of 512 MB,SYSTEM
PUT api/fake 422 651ms user=52 ip=10.205.37.89 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
"Mail configuration error: missing MAIL_HOST, MAIL_USERNAME",CONFIGURATION
DELETE does-not-exist 500 708ms user=42 ip=10.18.114.210 ua=Symfony,Noise
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.24.169.73:3306),SYSTEM
POST projects 429 617ms user=28 ip=10.109.33.177 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Noise
"Transaction: insert into `jobs` (`created_at`, `updated_at`, `name`) values (?, ?, ?)",Noise
ErrorException: file_put_contents(storage/logs/laravel-2026-05-20.log): Failed to open stream: Read-only file system,SYSTEM
PATCH projects/create 503 674ms user=18 ip=10.142.110.78 ua=Symfony,Noise
"ErrorException: Attempt to read property ""hours"" on null while rendering TicketTimeLogged for /dashboard",Error
"TypeError: App\Filament\Resources\OidcAuthController::syncDefaultRole(): Argument #1 must be of type App\Models\Role, null given",Error
GET projects/create 304 240ms user=68 ip=10.196.16.56 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
ModelNotFoundException: No query results for model [App\Models\Role] 4402,Error
ErrorException: file_put_contents(storage/logs/laravel-2026-05-15.log): Failed to open stream: No space left on device,SYSTEM
OutOfBoundsException: Undefined offset: status,Error
RuntimeException: Queue worker exceeded memory limit of 640 MB,SYSTEM
LogicException: Route [filament.resources.activities.view] not defined.,Error
TransportException: Microsoft Graph sendMail failed with status 400: invalid_request,CONFIGURATION
RuntimeException: Required configuration value OIDC_CLIENT_SECRET is empty,CONFIGURATION
"ParseError: syntax error, unexpected token ""=>"" in ProjectResource.php:208",Error
QueryException: SQLSTATE[HY000] [2002] Connection refused (10.26.183.99:33060),SYSTEM
PATCH logs-report 503 309ms user=39 ip=10.7.15.23 ua=curl/8.7.1,Noise
POST projects/create 201 92ms user=guest ip=10.34.78.122 ua=Symfony,Noise
"InvalidArgumentException: Expected valid config value for logging.default, received integer",CONFIGURATION
PATCH admin 404 1439ms user=69 ip=10.127.75.23 ua=curl/8.7.1,Noise
RuntimeException: Missing required environment variable OUTLOOK_MAIL_CLIENT_SECRET,CONFIGURATION
PUT projects/create 422 1256ms user=45 ip=10.30.142.34 ua=Symfony,Noise
"InvalidArgumentException: Expected array, received string for request payload",Error
PUT livewire/message/tickets 422 46ms user=59 ip=10.160.152.144 ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,Noise
ErrorException: Undefined variable $form in view dashboard,Error
